Session #,SNI,TLS Version,TLS Level,Cipher Suite,Vulnerable Field,Vulnerability Level,Issuer,Expiry Date,Public Key Algorithm, MigratiTn Required, Total
1,ssl.pstatic.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,GeoTrust TLS ECC CA G1,2026-06-22,ECDSA,F,TLS_H_CS_M
2,www.richvideos.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Encryption Everywhere DV TLS CA - G2,2025-10-16,RSA,T,TLS_H_CS_M
3,amazone.com,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,Amazon RSA 2048 M03,2025-11-11,RSA,F,TLS_M_CS_L
4,www.amazon.fr,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global CA G2,2025-12-17,RSA,F,TLS_H_CS_M
5,tivan.naver.com,1.3,H,AES_256_GCM_SHA384,None,H,Sectigo RSA Organization Validation Secure Server CA,2026-05-11,RSA,F,TLS_H_CS_H
6,siape.veta.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
7,g.tivan.naver.com,1.3,H,AES_256_GCM_SHA384,None,H,Sectigo RSA Organization Validation Secure Server CA,2026-05-11,RSA,F,TLS_H_CS_H
8,shopsquare.naver.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-17,ECDSA,F,TLS_H_CS_M
9,m.media-amazon.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global CA G2,2025-09-28,RSA,T,TLS_H_CS_M
10,linkedin.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert SHA2 Secure Server CA,2025-09-16,RSA,T,TLS_H_CS_H
11,static.licdn.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-14,RSA,F,TLS_H_CS_M
12,adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-05,ECDSA,F,TLS_H_CS_H
13,www.adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS Hybrid ECC SHA384 2020 CA1,2026-03-05,ECDSA,F,TLS_H_CS_H
14,accounts.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
15,adobeid-na1.services.adobe.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-03,RSA,F,TLS_H_CS_M
16,lnkd.demdex.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-10-26,RSA,T,TLS_H_CS_M
17,geo2.adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-03-05,RSA,F,TLS_H_CS_H
18,salesforce.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2025-11-13,ECDSA,F,TLS_H_CS_H
19,use.typekit.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-10,ECDSA,F,TLS_H_CS_H
20,www.salesforce.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-04-14,RSA,F,TLS_H_CS_H
21,p.typekit.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-10,ECDSA,F,TLS_H_CS_H
22,a.sfdcstatic.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert TLS RSA SHA256 2020 CA1,2026-02-12,RSA,F,TLS_H_CS_H
23,prod.adobeccstatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2025-08-25,RSA,T,TLS_H_CS_M
24,dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS RSA SHA256 2020 CA1,2025-12-08,RSA,F,TLS_H_CS_M
25,www.dropbox.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert TLS RSA SHA256 2020 CA1,2025-12-08,RSA,F,TLS_H_CS_M
26,s.go-mpulse.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-06-02,ECDSA,F,TLS_H_CS_H
27,play.google.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
28,c.go-mpulse.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-06-02,ECDSA,F,TLS_H_CS_H
29,geolocation.onetrust.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE1,2025-09-02,ECDSA,T,TLS_H_CS_M
30,commerce.adobe.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-09,ECDSA,F,TLS_H_CS_H
31,wp.sfdcdigital.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2025-09-11,ECDSA,T,TLS_H_CS_H
32,s2.go-mpulse.net,1.3,H,AES_256_GCM_SHA384,None,H,R11,2025-09-29,RSA,T,TLS_H_CS_H
33,cdn.cookielaw.org,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE1,2025-09-02,ECDSA,T,TLS_H_CS_M
34,api.demandbase.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Go Daddy Secure Certificate Authority - G2,2025-09-14,RSA,T,TLS_H_CS_M
35,zn3n5vyia1vy8b4ly-adobe.siteintercept.qualtrics.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-01-02,RSA,F,TLS_H_CS_M
36,cdnssl.clicktale.net,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon RSA 2048 M03,2026-03-27,RSA,F,TLS_H_CS_M
37,lh4.googleusercontent.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
38,lh6.googleusercontent.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
39,yt3.ggpht.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
40,s.pinimg.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-08-23,RSA,F,TLS_H_CS_M
41,match.adsrvr.org,1.2,M,ECDHE_RSA_WITH_AES_128_GCM_SHA256,RSA+ECDHE,L,GlobalSign GCC R3 DV TLS CA 2020,2026-04-02,RSA,F,TLS_M_CS_L
42,github.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo ECC Domain Validation Secure Server CA,2026-02-05,ECDSA,F,TLS_H_CS_M
43,fjord.dropboxstatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Amazon ECDSA 256 M02,2026-08-05,ECDSA,F,TLS_H_CS_M
44,github.githubassets.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,Sectigo RSA Domain Validation Secure Server CA,2025-09-24,RSA,T,TLS_H_CS_M
45,fonts.gstatic.com,1.3,H,AES_128_GCM_SHA256,AES_128,M,WE2,2025-09-29,ECDSA,T,TLS_H_CS_M
46,iis-hotfix.digital.salesforce.com,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G3 TLS ECC SHA384 2020 CA1,2026-05-01,ECDSA,F,TLS_H_CS_H
47,servedby.flashtalking.com,1.3,H,AES_256_GCM_SHA384,None,H,R11,2025-09-09,RSA,T,TLS_H_CS_H
48,www.everestjs.net,1.3,H,AES_256_GCM_SHA384,None,H,DigiCert Global G2 TLS RSA SHA256 2020 CA1,2026-02-20,ECDSA,F,TLS_H_CS_H
